[INFO ] [2022-12-12 14:54:26,265] Register - Step 01: Navigate to Register page
[INFO ] [2022-12-12 14:54:27,764] Register - Step 02: click to Radio button
[INFO ] [2022-12-12 14:54:27,932] Register - Step 03: Enter to Firstname textbox with value is Cuong Truong
[INFO ] [2022-12-12 14:54:28,221] Register - Step 04: Enter to Lastname textbox with value is Truong
[INFO ] [2022-12-12 14:54:28,501] Register - Step 05: Select DateOfBirthDay, DateOfBirthMonth, DateOfBirthYear
[INFO ] [2022-12-12 14:54:29,163] Register - Step 06: Enter to Email Adrress textbox with value is khanhcuong6884@gmail.com
[INFO ] [2022-12-12 14:54:29,568] Register - Step 07: Click to Checkbox Newsletter
[INFO ] [2022-12-12 14:54:29,693] Register - Step 08: Enter to Company textbox with value is LG Electronics
[INFO ] [2022-12-12 14:54:30,029] Register - Step 09: Enter to Password textbox with value is 123456
[INFO ] [2022-12-12 14:54:30,345] Register - Step 10: Enter to ConfirmPassword textbox with value is 123456
[INFO ] [2022-12-12 14:54:30,584] Register - Step 11: Click to Register button
[INFO ] [2022-12-12 14:54:33,001] Register - Step 12: Verify Register Success Message is displayed
[INFO ] [2022-12-12 14:54:33,112]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 14:54:33,178] Login - Step 01: Navigate to Login page
[INFO ] [2022-12-12 14:54:36,194] Login - Step 02: Enter to email textbox with value is khanhcuong6884@gmail.com
[INFO ] [2022-12-12 14:54:36,624] Login - Step 03: Enter to password textbox with value is 123456
[INFO ] [2022-12-12 14:54:36,948] Login - Step 04: Click to login button
[INFO ] [2022-12-12 14:54:37,852] Login - Step 05: Verify My Account Link is displayed
[INFO ] [2022-12-12 14:54:37,945]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 14:54:37,954] MyAccount - Step 01: Navigate to My Account Page
[INFO ] [2022-12-12 14:54:39,075] MyAccount - Step 02: Verify Customer Info page is displayed
[INFO ] [2022-12-12 14:54:39,177]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 14:54:39,177] MyAccount - Step 03: Verify First Name value is correct
[INFO ] [2022-12-12 14:54:39,267] MyAccount - Step 04: Verify Last Name value is correct
[INFO ] [2022-12-12 14:54:39,357] MyAccount - Step 05: Verify Email value is correct
[INFO ] [2022-12-12 14:54:39,445] OS name = windows 10
[INFO ] [2022-12-12 14:54:39,445] Driver instance name = chromedriver: chrome on windows (b8c53d5bd1b6c19d6d49a8e93e9459d6)
[INFO ] [2022-12-12 14:55:07,648] OS name = windows 10
[INFO ] [2022-12-12 14:55:07,648] 
[INFO ] [2022-12-12 14:57:18,108] Register - Step 01: Navigate to Register page
[INFO ] [2022-12-12 14:57:19,824] Register - Step 02: click to Radio button
[INFO ] [2022-12-12 14:57:20,007] Register - Step 03: Enter to Firstname textbox with value is Cuong Truong
[INFO ] [2022-12-12 14:57:20,356] Register - Step 04: Enter to Lastname textbox with value is Truong
[INFO ] [2022-12-12 14:57:20,619] Register - Step 05: Select DateOfBirthDay, DateOfBirthMonth, DateOfBirthYear
[INFO ] [2022-12-12 14:57:21,229] Register - Step 06: Enter to Email Adrress textbox with value is khanhcuong3886@gmail.com
[INFO ] [2022-12-12 14:57:21,539] Register - Step 07: Click to Checkbox Newsletter
[INFO ] [2022-12-12 14:57:21,656] Register - Step 08: Enter to Company textbox with value is LG Electronics
[INFO ] [2022-12-12 14:57:21,952] Register - Step 09: Enter to Password textbox with value is 123456
[INFO ] [2022-12-12 14:57:22,168] Register - Step 10: Enter to ConfirmPassword textbox with value is 123456
[INFO ] [2022-12-12 14:57:22,370] Register - Step 11: Click to Register button
[INFO ] [2022-12-12 14:57:23,665] Register - Step 12: Verify Register Success Message is displayed
[INFO ] [2022-12-12 14:57:23,772]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 14:57:23,826] Login - Step 01: Navigate to Login page
[INFO ] [2022-12-12 14:57:25,582] Login - Step 02: Enter to email textbox with value is khanhcuong3886@gmail.com
[INFO ] [2022-12-12 14:57:25,891] Login - Step 03: Enter to password textbox with value is 123456
[INFO ] [2022-12-12 14:57:26,091] Login - Step 04: Click to login button
[INFO ] [2022-12-12 14:57:26,896] Login - Step 05: Verify My Account Link is displayed
[INFO ] [2022-12-12 14:57:27,004]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 14:57:27,014] MyAccount - Step 01: Navigate to My Account Page
[INFO ] [2022-12-12 14:57:27,841] MyAccount - Step 02: Verify Customer Info page is displayed
[INFO ] [2022-12-12 14:57:27,945]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 14:57:27,945] MyAccount - Step 03: Verify First Name value is correct
[INFO ] [2022-12-12 14:57:28,005] MyAccount - Step 04: Verify Last Name value is correct
[INFO ] [2022-12-12 14:57:28,083] MyAccount - Step 05: Verify Email value is correct
[INFO ] [2022-12-12 14:57:28,180] OS name = windows 10
[INFO ] [2022-12-12 14:57:28,181] Driver instance name = chromedriver: chrome on windows (ead598a55d1e68287880c2445a4b9227)
[INFO ] [2022-12-12 15:15:55,730] Register - Step 01: Navigate to Register page
[INFO ] [2022-12-12 15:15:56,491] Register - Step 02: click to Radio button
[INFO ] [2022-12-12 15:15:56,686] Register - Step 03: Enter to Firstname textbox with value is Cuong Truong
[INFO ] [2022-12-12 15:15:56,935] Register - Step 04: Enter to Lastname textbox with value is Truong
[INFO ] [2022-12-12 15:15:57,175] Register - Step 05: Select DateOfBirthDay, DateOfBirthMonth, DateOfBirthYear
[INFO ] [2022-12-12 15:15:57,859] Register - Step 06: Enter to Email Adrress textbox with value is khanhcuong2779@gmail.com
[INFO ] [2022-12-12 15:15:58,196] Register - Step 07: Click to Checkbox Newsletter
[INFO ] [2022-12-12 15:15:58,318] Register - Step 08: Enter to Company textbox with value is LG Electronics
[INFO ] [2022-12-12 15:15:58,652] Register - Step 09: Enter to Password textbox with value is 123456
[INFO ] [2022-12-12 15:15:58,899] Register - Step 10: Enter to ConfirmPassword textbox with value is 123456
[INFO ] [2022-12-12 15:15:59,124] Register - Step 11: Click to Register button
[INFO ] [2022-12-12 15:16:00,207] Register - Step 12: Verify Register Success Message is displayed
[INFO ] [2022-12-12 15:16:00,317]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-12-12 15:16:00,377] Login - Step 01: Navigate to Login page
[INFO ] [2022-12-12 15:16:01,923] Login - Step 02: Enter to email textbox with value is khanhcuong2779@gmail.com
